city,date,pm2_5,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,AQI,temperature_2m,humidity,wind_speed,precipitation
Thiruvananthapuram,2025-05-20,9.466666666666667,20.316666666666666,73.54166666666667,2.1208333333333336,1.0791666666666668,146.16666666666666,73.54166666666667,26.825,85.125,14.879166666666665,0.1875
Thiruvananthapuram,2025-05-21,14.229166666666666,35.90833333333334,62.458333333333336,2.1458333333333335,1.075,162.0,62.458333333333336,27.23333333333333,84.04166666666667,11.9375,0.12083333333333333
Thiruvananthapuram,2025-05-22,12.4375,30.625,53.5,2.8958333333333335,1.6291666666666667,153.04166666666666,53.5,27.17083333333333,89.04166666666667,9.554166666666667,0.18333333333333335
Thiruvananthapuram,2025-05-23,5.479166666666667,9.7125,44.916666666666664,2.0333333333333337,0.825,132.0,44.916666666666664,26.23333333333333,92.33333333333333,8.133333333333335,0.775
Thiruvananthapuram,2025-05-24,5.883333333333333,11.466666666666667,49.333333333333336,1.6083333333333332,0.48333333333333334,121.79166666666667,49.333333333333336,25.6,93.125,12.758333333333335,2.0708333333333333
Thiruvananthapuram,2025-05-25,8.1125,16.129166666666666,47.625,1.866666666666667,0.725,124.58333333333333,47.625,25.791666666666668,92.83333333333333,12.7375,0.7541666666666667
Thiruvananthapuram,2025-05-26,8.479166666666666,16.979166666666668,51.041666666666664,1.5875,0.5291666666666667,108.875,51.041666666666664,25.79583333333333,92.33333333333333,18.166666666666668,2.3
Thiruvananthapuram,2025-05-27,9.754166666666666,20.75,50.708333333333336,1.4458333333333333,0.5125,111.66666666666667,50.708333333333336,26.3625,89.875,19.29583333333333,0.7791666666666667
Thiruvananthapuram,2025-05-28,10.991666666666665,23.03333333333333,48.541666666666664,1.4583333333333333,0.5625,99.08333333333333,48.541666666666664,28.45,81.45833333333333,27.23333333333333,0.32916666666666666
Thiruvananthapuram,2025-05-29,10.566666666666666,22.67083333333333,51.5,1.3708333333333333,0.45,103.45833333333333,51.5,26.912499999999998,87.16666666666667,24.7125,1.4416666666666667
Thiruvananthapuram,2025-05-30,9.166666666666666,18.825,56.458333333333336,1.6875,0.45416666666666666,114.91666666666667,56.458333333333336,25.3875,93.54166666666667,22.7,1.6208333333333331
Thiruvananthapuram,2025-05-31,9.908333333333333,21.9875,59.708333333333336,2.2125,1.0958333333333332,143.0,59.708333333333336,25.22083333333333,91.79166666666667,14.854166666666666,0.4791666666666667
Thiruvananthapuram,2025-06-01,11.866666666666665,23.70416666666667,49.791666666666664,3.4708333333333337,1.9208333333333332,160.08333333333334,49.791666666666664,27.2875,86.20833333333333,17.53333333333333,0.1
Thiruvananthapuram,2025-06-02,10.816666666666666,20.5375,54.875,3.5791666666666666,2.225,151.04166666666666,54.875,27.15833333333333,86.04166666666667,11.875,0.07083333333333333
Thiruvananthapuram,2025-06-03,7.683333333333333,15.308333333333335,51.333333333333336,2.7041666666666666,1.5208333333333333,135.41666666666666,51.333333333333336,26.491666666666667,87.91666666666667,13.070833333333335,0.2833333333333333
Thiruvananthapuram,2025-06-04,7.216666666666667,15.041666666666666,56.125,2.6625,1.45,127.08333333333333,56.125,26.020833333333332,89.0,12.5,0.3666666666666667
